cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,VCCINTLP,VCCPSPLL,MGTRAVTT,VCCPSDDRPLL,VCCPSINTFP,VCCPSAUX,MGTRAVCC,VCCPSDDR,VCCBRAM,VCC1V2,VADJ_FMC,MGTAVTT,VCCINT,VCCAUX,VCC3V3,MGTAVCC,total_ps_power,total_pl_power,total_power
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1262000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1922000,1205000,3127000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1187000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1847000,1205000,3052000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1487000,25000,87000,200000,37000,25000,0,25000,781000,287000,25000,25000,2160000,1205000,3365000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1375000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,2035000,1205000,3240000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1350000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,2010000,1205000,3215000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1312000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1972000,1205000,3177000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1287000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1947000,1205000,3152000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1325000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1985000,1205000,3190000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1300000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1960000,1205000,3165000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1325000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1985000,1205000,3190000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1300000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1960000,1205000,3165000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1337000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1997000,1205000,3202000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1300000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1960000,1205000,3165000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1337000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1997000,1205000,3202000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1325000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1985000,1205000,3190000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1362000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,2022000,1205000,3227000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1312000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1972000,1205000,3177000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1350000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,2010000,1205000,3215000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1312000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1972000,1205000,3177000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1287000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1947000,1205000,3152000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1337000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1997000,1205000,3202000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1300000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1960000,1205000,3165000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1275000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1935000,1205000,3140000,
1199999,1199999,1199999,1199999,262000,37000,25000,37000,1175000,25000,87000,187000,37000,25000,0,25000,781000,287000,25000,25000,1835000,1205000,3040000,
