cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,VCCPSPLL,VCCBRAM,VCCPSDDRPLL,VCCINT,VCCPSDDR,total_power
1199999,1199999,1199999,1199999,34858,35616,43560,796362,187144,3121000,
1199999,1199999,1199999,1199999,34858,36550,43584,793815,185952,3065000,
1199999,1199999,1199999,1199999,34829,35700,43584,792792,195652,3371000,
1199999,1199999,1199999,1199999,34829,36550,43584,792792,194296,3284000,
1199999,1199999,1199999,1199999,34858,36464,43560,792792,190720,3196000,
1199999,1199999,1199999,1199999,34858,36464,43560,794664,193104,3221000,
1199999,1199999,1199999,1199999,34829,36464,45375,794664,191912,3196000,
1199999,1199999,1199999,1199999,34858,35700,43584,795513,190720,3208000,
1199999,1199999,1199999,1199999,34858,35700,45400,798060,189528,3195000,
1199999,1199999,1199999,1199999,34858,35700,43560,797027,195488,3271000,
1199999,1199999,1199999,1199999,34858,36550,43584,795513,193104,3233000,
1199999,1199999,1199999,1199999,34829,36464,43560,796362,213368,3246000,
1199999,1199999,1199999,1199999,34829,36464,43584,796362,187144,3221000,
1199999,1199999,1199999,1199999,34858,35616,43560,797874,185952,3258000,
1199999,1199999,1199999,1199999,34858,35616,43560,798060,185952,3221000,
1199999,1199999,1199999,1199999,34858,35616,43560,795513,186108,3196000,
1199999,1199999,1199999,1199999,34858,36464,43584,793815,181184,3233000,
1199999,1199999,1199999,1199999,34858,36550,43560,792792,183722,3208000,
1199999,1199999,1199999,1199999,34858,36464,43584,798060,181184,3233000,
1199999,1199999,1199999,1199999,34829,36464,43584,794486,181336,3208000,
1199999,1199999,1199999,1199999,34858,36464,43584,798909,182376,3233000,
1199999,1199999,1199999,1199999,34858,35700,43584,793548,182529,3221000,
1199999,1199999,1199999,1199999,34858,36550,45400,796362,182376,3246000,
1199999,1199999,1199999,1199999,34829,36464,43584,796362,207408,3246000,
1199999,1199999,1199999,1199999,34858,36464,43584,793639,185952,3146000,
1199999,1199999,1199999,1199999,34858,36464,43560,792792,186108,3083000,
